Name,Occurences,AvgLaunchAngle,MaxExitVelo,AvgExitVelo,ExitVeloFBLD,ExitVeloGB,MaxDist,AvgDist,AvgHRdist,HardHit95,HardHitPct,NumBarrels,BarrelPct,Barrels/PA
"Reynolds, Mark",145,18.3,109.9,89.1,92.4,86.8,449,182,406,57,39.3,15,10.3,6.4
,,,,,,,,,,,,,,
"Smoak, Justin",352,14.9,110.7,89.5,94.4,84.6,420,186,389,147,41.8,38,10.8,6.4
,,,,,,,,,,,,,,
"Donaldson, Josh",134,11.8,115.5,90.2,96.3,85.9,435,170,396,55,41,14,10.4,6.4
,,,,,,,,,,,,,,
"Dahl, David",183,13.9,106.6,88.7,93,84.7,438,191,408,71,38.8,17,9.3,6.3
,,,,,,,,,,,,,,
"Murphy, John Ryan",140,20.8,107.9,86,93,79,434,194,404,44,31.4,14,10,6.3
,,,,,,,,,,,,,,
"White, Tyler",162,17,108.2,89,93.5,85.5,417,191,382,58,35.8,15,9.3,6.3
,,,,,,,,,,,,,,
"Villanueva, Christian",248,21,110,86.6,90.6,85.2,434,188,392,75,30.2,24,9.7,6.3
,,,,,,,,,,,,,,
"Miller, Brad",150,10.9,112,90.8,94.6,87,436,192,414,74,49.3,16,10.7,6.3
,,,,,,,,,,,,,,
"Suarez, Eugenio",391,14.7,112.8,91.2,93,89.8,451,192,400,178,45.5,38,9.7,6.3
,,,,,,,,,,,,,,
"Soto, Juan",316,5.5,113.7,89.4,97.4,84.6,440,152,395,133,42.1,31,9.8,6.3
,,,,,,,,,,,,,,
"Duda, Lucas",229,19.6,114.1,89.5,92.5,86,436,212,407,84,36.7,23,10,6.3
,,,,,,,,,,,,,,
"Calhoun, Kole",364,12,109.4,90.4,94.4,86.4,436,181,403,156,42.9,34,9.3,6.2
,,,,,,,,,,,,,,
"Ramirez, Jose",504,18.8,110.2,88.8,92.4,86.6,434,196,388,175,34.7,43,8.5,6.2
,,,,,,,,,,,,,,
"Polanco, Gregory",351,19.9,112.9,88.6,93.6,86,440,191,401,134,38.2,33,9.4,6.2
,,,,,,,,,,,,,,
"Soler, Jorge",156,10.9,114.1,89.6,96.3,84.2,444,171,405,64,41,16,10.3,6.2
,,,,,,,,,,,,,,
"Bour, Justin",302,9.7,115.5,88.7,95.6,84.8,437,167,405,117,38.7,31,10.3,6.2
,,,,,,,,,,,,,,
"Canha, Mark",279,15.5,108.5,87,92.7,83,434,182,400,96,34.4,25,9,6.1
,,,,,,,,,,,,,,
"Bruce, Jay",244,21.4,109,88.3,92.6,84,412,205,390,84,34.4,22,9,6.1
,,,,,,,,,,,,,,
"Freese, David",211,7.2,110.9,90.3,93.1,88.8,435,160,391,95,45,19,9,6.1
,,,,,,,,,,,,,,
"Pham, Tommy",357,6.7,112.1,92.8,95.2,91.4,454,171,407,178,49.9,35,9.8,6.1
,,,,,,,,,,,,,,
"Springer, George",425,9.4,114.7,88.6,93.3,86.1,462,158,410,158,37.2,38,8.9,6.1
,,,,,,,,,,,,,,
"Devers, Rafael",331,11,116.3,90.7,95.3,89.4,447,167,399,137,41.4,30,9.1,6.1
,,,,,,,,,,,,,,
"Torres, Gleyber",315,18.8,109.4,88.7,91.2,86.8,444,196,396,116,36.8,29,9.2,6
,,,,,,,,,,,,,,
"Santana, Domingo",137,11.5,111.6,89,92.5,86.1,429,169,391,53,38.7,14,10.2,6
,,,,,,,,,,,,,,
"Diaz, Aledmys",364,13.7,112.9,89.1,93.1,86.9,431,176,392,143,39.3,27,7.4,6
,,,,,,,,,,,,,,
"Sano, Miguel",153,12.9,114.6,90.3,96.1,84.7,455,178,400,65,42.5,18,11.8,6
,,,,,,,,,,,,,,
"Mazara, Nomar",376,5.3,117.1,90.5,94.2,89.2,449,149,416,162,43.1,32,8.5,6
,,,,,,,,,,,,,,
"Descalso, Daniel",246,19.1,105.5,89,92.3,85.9,432,209,385,85,34.6,25,10.2,5.9
,,,,,,,,,,,,,,
"Valbuena, Luis",168,18,107.6,89,92.7,85.3,440,191,410,68,40.5,17,10.1,5.9
,,,,,,,,,,,,,,
"Escobar, Eduardo",448,18.7,108.8,86.6,90.9,82.4,447,197,400,122,27.2,37,8.3,5.9
,,,,,,,,,,,,,,
"Bryant, Kris",285,17.7,110.2,85.8,91.3,78.8,448,186,406,96,33.7,27,9.5,5.9
,,,,,,,,,,,,,,
"DeJong, Paul",318,19.1,110.4,89.3,93.4,85.6,464,205,398,128,40.3,29,9.1,5.9
,,,,,,,,,,,,,,
"Pederson, Joc",314,15.4,113.9,91.1,94.6,89.4,437,191,391,126,40.1,26,8.3,5.9
,,,,,,,,,,,,,,
"Happ, Ian",222,14.1,110.5,90,93.4,87.8,437,193,400,90,40.5,27,12.2,5.8
,,,,,,,,,,,,,,
"Conforto, Michael",388,11.9,112.4,87.9,93.5,83.6,472,173,395,142,36.6,37,9.5,5.8
,,,,,,,,,,,,,,
"Chapman, Matt",403,14.7,115.3,93,95.9,92.7,434,182,397,192,47.6,36,8.9,5.8
,,,,,,,,,,,,,,
"Alfaro, Jorge",207,8.2,116.6,91.6,94.5,89.8,446,166,420,91,44,22,10.6,5.8
,,,,,,,,,,,,,,
"Hicks, Aaron",377,12.5,110,88.9,93.3,85.1,417,182,388,162,43,33,8.8,5.7
,,,,,,,,,,,,,,
"Longoria, Evan",384,13.6,110.4,88.5,93,85.7,435,177,399,142,37,29,7.6,5.7
,,,,,,,,,,,,,,
"Gurriel Jr., Lourdes",193,10.4,110.7,90.3,92.5,88.1,450,178,396,88,45.6,15,7.8,5.7
,,,,,,,,,,,,,,
"Nunez, Renato",176,16,111.9,88.9,92.7,88.6,425,174,397,64,36.4,15,8.5,5.7
,,,,,,,,,,,,,,
"Valencia, Danny",207,9,113.4,90.7,94.5,88.2,443,169,409,85,41.1,16,7.7,5.7
,,,,,,,,,,,,,,
"Brinson, Lewis",264,6.9,113.6,89.1,93.7,86.4,450,150,414,102,38.6,23,8.7,5.7
,,,,,,,,,,,,,,
"Turner, Justin",313,18.2,106.5,89.2,91.5,86.7,430,204,399,115,36.7,24,7.7,5.6
,,,,,,,,,,,,,,
"Chirinos, Robinson",222,21.7,107.3,87.9,93.3,80.6,456,206,393,87,39.2,24,10.8,5.6
,,,,,,,,,,,,,,
"Davis, Chris",282,14.7,111.8,89,94.5,83,434,189,403,113,40.1,29,10.3,5.6
,,,,,,,,,,,,,,
"Marte, Starling",454,8.3,112,87.5,94.1,83.6,453,159,398,172,37.9,34,7.5,5.6
,,,,,,,,,,,,,,
"Iannetta, Chris",216,13.2,114.5,91.7,95.9,87,469,189,421,93,43.1,20,9.3,5.6
,,,,,,,,,,,,,,
"Bregman, Alex",512,16.9,107.6,89.2,93.4,86.1,420,190,384,204,39.8,39,7.6,5.5
,,,,,,,,,,,,,,
"Gomes, Yan",287,18.5,109.1,88.9,92.4,85.1,435,200,391,111,38.7,24,8.4,5.5
,,,,,,,,,,,,,,
"Bellinger, Cody",409,16.1,112.9,89.7,95.4,86.4,443,183,405,155,37.9,35,8.6,5.5
,,,,,,,,,,,,,,
